no	tempo	potencia	taxaMAC
1	23,337182470774	-15	90
4	23,340854111888	-10	50
3	23,350932824713	-15	80
5	23,58789898653	-10	70
2	23,593992214327	-20	90
3	23,606132770334	-20	90
4	23,818304840981	-10	40
1	23,84216396132	-12	60
3	24,037538299908	-20	90
5	24,04066350158	-10	50
4	24,272005832319	-10	50
5	24,274505816169	-10	90
3	24,323881117361	-15	80
5	24,52006692591	-10	80
1	24,522879531353	-12	50
2	24,541159587617	-15	80
4	24,75805017242	-10	50
3	24,786565960792	-15	70
4	25,006736369785	-10	90
5	25,011220803321	-10	60
2	25,237454265206	-15	80
5	25,247922401891	-10	100
1	25,253703915932	-15	70
3	25,271672998498	-12	20
4	25,288547007693	-10	80
5	25,496842987193	-10	70
3	25,715920341303	-15	70
4	25,737638886706	-10	70
3	25,764279994188	-15	70
5	25,955856504656	-10	60
2	25,958591005054	-12	60
4	26,195871028777	-10	60
5	26,210792298358	-10	70
1	26,213995967123	-15	80
3	26,214183467123	-15	70
5	26,480493234047	-10	80
3	26,704649957677	-15	80
5	26,912007946218	-10	80
2	26,918023311495	-15	70
4	26,94177338756	-10	50
1	27,152569216684	-20	100
3	27,174678650609	-12	30
4	27,192881141774	-10	80
5	27,196786900069	-10	80
5	27,431332633579	-10	80
4	27,434644764688	-10	70
2	27,632051139502	-15	80
3	27,659160648016	-15	80
1	27,872143653315	-15	60
5	27,879253112374	-10	50
4	27,898627827825	-10	60
5	28,155125654732	-10	80
4	28,164032393931	-10	70
3	28,367797528788	-20	50
2	28,40537295257	-15	80
5	28,40787401488	-10	50
3	28,592186839734	-15	70
4	28,634608199127	-10	80
1	28,832123114208	-15	70
3	28,848451247963	-15	80
5	28,855013279455	-10	60
4	29,081278012323	-10	80
2	29,098620679161	-12	60
3	29,315433165863	-20	50
5	29,320901654655	-10	70
4	29,56490072742	-10	70
1	29,568103734548	-20	90
5	29,580446815707	-10	90
3	29,797649480473	-20	60
4	30,032820107545	-10	70
5	30,051022624917	-10	70
